should	0
was	1
share_quarters_at	2
shuttle_back_to	3
shattering	4
does_have	5
are_polished_to	6
shuttle_back_and_forth_to	7
swims_as	8
walks_around	9
shuttle_back_and_forth	10
encrusted_here	11
leaves_room_barracks	12
is_here_staring_at	13
being_allowed	14
share	15
directly_ahead_lies	16
would_wait_until	17
is	18
would	19
plans	20
reveal	21
is_partially_blocked_by	22
is_here_sitting_on	23
echo	24
perhaps_larger_than	25
seemed	26
certainly_does_have	27
dominates	28
are_tossed_about	29
can	30
barracks_kept	31
'll_have	32
are_astonished	33
probably_held_here	34
are_polished	35
hear_shouts_to	36
barracks_kept_close	37
center_of	38
is_long_lined	39
barracks_always_kept	40
can_see_scroll_by	41
looking	42
stretches_into	43
in	44
is_to	45
dot	46
is_with	47
feel_moment	48
can_sense	49
are_horribly_faded_from	50
share_quarters_with	51
're	52
publish	53
can_also_see_here	54
would_go	55
encrusted	56
are_reminded_of	57
drat	58
're_slightly_embarassed_by	59
would_first_go	60
has_just_gone_up_by	61
shuttle_back	62
awaits_to	63
find	64
relax_in	65
bounce_off	66
leaves_room_treasury_in	67
duke_of	68
is_barbaric_in	69
article_of	70
bring_here	71
voice_from	72
walk_through	73
inspect	74
held_spears	75
has_gone_up_by	76
notice	77
lined_floor_to	78
winds_upstairs_to	79
mounted_against	80
kept_close	81
step_out_of	82
is_ahead_to	83
remember	84
run	85
enter	86
is_lying_on	87
hit	88
can_see_postcard_in	89
is_staring_at	90
can_see	91
is_surprisingly_small_for	92
recall_genealogy	93
orders_of	94
leaves_room_treasury_past	95
be	96
hear	97
are_at	98
're_embarassed_by	99
feel	100
luxury_outside	101
shuttle	102
held	103
is_in	104
get_into	105
leaves	106
can_see_here	107
looking_for	108
stands_inside	109
being	110
looks	111
have_off	112
must_serve_as	113
is_sitting_on	114
always_kept	115
hit_hard	116
be_place	117
stretch_out_seemingly_for	118
is_blocked_by	119
larger_than	120
can_see_scroll_here_by	121
grow	122
always_kept_contingent	123
hit_as_hard	124
get_out_of	125
delivered	126
luxury_of	127
damn_run	128
is_lined	129
ahead_lies	130
probably_held	131
probably_held_spears	132
smashes	133
housed	134
seemed_from	135
would_come	136
kept	137
perhaps_delivered	138
shuttle_to	139
echo_loudly	140
are	141
of_scrap_is	142
can_see_sword_in	143
barracks_always_kept_close	144
consists_of	145
kinds_of	146
allowed	147
stretches_to	148
has	149
have	150
winds	151
were	152
is_small_for	153
various_kinds_of	154
begin	155
precede	156
recall	157
north_to	158
bring	159
shoots	160
juts_out_from	161
get_first_out_of	162
are_in	163
stretch_out_for	164
gutted	165
were_housed_outside	166
listening_to	167
even_larger_than	168
slightly_annoyed_voice_from	169
are_scattered	170
kept_contingent	171
form	172
is_just_ahead_to	173
extends_above	174
's_fixed_in	175
are_highpoints_of	176
lies	177
always_kept_close	178
held_here	179
can_also_see	180
lined	181
perhaps_even_larger_than	182
of	183
annoyed_voice_from	184
