leads_south_and_west	0
'm	1
go	2
get_off	3
see	4
remind	5
'm_in	6
'm_wandering	7
keep	8
widens_into	9
says	10
leads_to	11
full_score_for	12
are_trees_in	13
winds	14
are_in	15
's_on	16
would_like	17
leads_south	18
look	19
give	20
entered	21
passes	22
has	23
'm_lost_in	24
restore	25
must	26
'm_beginning	27
can_keep_on	28
'm_feeling	29
'm_on	30
in	31
surrounded_on	32
is_festooned_with	33
winding_through	34
'm_walking_in	35
give_score_on	36
oh	37
hardly_keep	38
can_see	39
adds_well_after	40
informs	41
's_in	42
are_pointing_to	43
got_lost_at	44
being	45
is_sitting_on	46
leads	47
chewing_on	48
is_clearing_in	49
somewhere_comes	50
'm_feeling_on	51
looks_at	52
looks_quizzically_for	53
feeling	54
be_blocked_by	55
's_by	56
looking	57
score_for	58
got	59
jumps_from	60
get_onto	61
taking	62
separated_from	63
looks_quizzically_at	64
put_wristwatch_on	65
be	66
see_here	67
take_off	68
can_hardly_keep_on	69
can_hardly_keep_in	70
jumps_out_from	71
'm_standing_on	72
put_note_into	73
put_on	74
widens_to	75
is_in	76
slobbers_at	77
first_taking	78
leads_around	79
have	80
of	81
sits_to	82
can_also_see_here	83
in_shed_is	84
slaps	85
can_keep	86
pointing_to	87
definately_has	88
looks_for	89
can_see_wristwatch_on	90
take_off_wristwatch_on	91
lost_in	92
'm_wandering_in	93
leads_into	94
adds_after	95
can_go_in	96
separated_by	97
'm_at	98
comes	99
can_see_here	100
tending_to	101
got_lost_among	102
is	103
chewing_disinterestedly_on	104
seems	105
'm_scared_on	106
can_hardly_keep	107
'm_soooo_scared_on	108
head_off_along	109
she_of_be	110
can_keep_in	111
put	112
was	113
can_also_see	114
is_on	115
get_off_first	116
