	0
shadows	1
endless_stair	2
Junction	3
your_old_friend	4
you	5
likely	6
Barren_Area	7
stair	8
bottom_of_seemingly_endless_stair	9
light	10
your_feet	11
now_on	12
long	13
exit_to_west	14
area	15
junction	16
all_around_you	17
exit_to_east	18
wall	19
winding	20
grue	21
exit_to_south	22
elvish_sword	23
on	24
passage	25
dark	26
exit_to_southwest	27
your	28
lamp	29
bottom_of_stairway	30
sword	31
mist	32
great	33
imbedded	34
elvish	35
west	36
dark_trail	37
junction_of_passage	38
exit_to_up	39
junction_of_north_south_passage	40
bottom_of_stair	41
walls	42
brass_lantern	43
black	44
all	45
exit_to_north	46
now_off	47
south	48
exit_to_northwest	49
floor	50
junction_of_north_passage	51
bottom	52
It_is_pitch_black._You_are_likely_to_be_eaten_by_a_grue.	53
broken	54
broken_brass_lantern	55
lantern	56
your_friend	57
junction_of_south_passage	58
bottom_of_endless_stair	59
strange_shadows	60
north	61
great_rock	62
rock	63
Endless_Stair	64
off	65
brass	66
its_way	67
eerie_light	68
trail	69
